transcript_col,model_type,embedding_dim,lstm_units,dropout,recurrent_dropout,dense_units,learning_rate,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro
Transcript_CTD,bilstm,100,16,0.3,0.0,0,0.0005,0.6348790322580645,0.055947126560203175,0.6264135036057744,0.060906928951113576,0.6273525174983883,0.0613519198029388,0.6430008227067051,0.04961116776729125,0.6342542016806723,0.05420547428892174
Transcript_CTD,bilstm,100,16,0.3,0.0,64,0.001,0.6423387096774194,0.13241839711256348,0.6205974740457499,0.15609512343496493,0.6211529574738697,0.16070294643448593,0.6456413319783222,0.14410216257475914,0.640248599439776,0.12442746645988816
Transcript_CTD,bilstm,100,16,0.3,0.0,64,0.0005,0.6088709677419355,0.15559501114173174,0.5902737194155959,0.1616388537667432,0.5889767619727204,0.16732859002383527,0.6310624882364012,0.17840252495001505,0.6101785714285715,0.14353063774508273
Transcript_CTD,bilstm,100,16,0.3,0.1,0,0.001,0.6411290322580645,0.13524604702619694,0.6352093812041957,0.1362245642109351,0.6363941660697042,0.13676662646300491,0.645601752964285,0.13302364006837308,0.6393137254901962,0.13251418214779837
Transcript_CTD,bilstm,100,16,0.3,0.1,0,0.0005,0.6929435483870968,0.1124062000564659,0.6863863889169786,0.11451238994458221,0.6884438096201166,0.11389483539376018,0.6990200918717543,0.11129084405488879,0.6890826330532213,0.11292719277109742
Transcript_CTD,bilstm,100,16,0.3,0.1,64,0.001,0.6225806451612903,0.11267257546176118,0.6052306643660599,0.13748434434089443,0.6021547369074033,0.14248176351692157,0.6418799703789562,0.09534701295164001,0.6297759103641456,0.10418368340751492
Transcript_CTD,bilstm,100,16,0.3,0.1,64,0.0005,0.6862903225806452,0.09018206235414808,0.6786008666789599,0.09839242085742722,0.6813377658677991,0.09535325805804987,0.6876937949092681,0.09027428607660602,0.6815231092436975,0.09491099541198875
Transcript_CTD,bilstm,100,128,0.3,0.0,0,0.001,0.6217741935483871,0.06986403474375338,0.57437859523482,0.1354798152144576,0.5807561974135597,0.12186088997678175,0.5993473555430077,0.1918117606127962,0.6136764705882353,0.08584830421449915
Transcript_CTD,bilstm,100,128,0.3,0.0,0,0.0005,0.6538306451612902,0.02678114586184198,0.632662946489913,0.039914522581926695,0.6371087919018118,0.036182023296296106,0.6767966936445198,0.04100520413852104,0.6444887955182073,0.03386899576584652
Transcript_CTD,bilstm,100,128,0.3,0.0,64,0.001,0.6409274193548387,0.028085046485776366,0.6195228321200748,0.039419515277137704,0.6230339376882517,0.03692634702516279,0.6660024154589371,0.03961768941431905,0.6342682072829132,0.03148333919592135
Transcript_CTD,bilstm,100,128,0.3,0.0,64,0.0005,0.5895161290322581,0.08146758067693406,0.5493386838898905,0.11249909262496087,0.5564144718332965,0.10646587737360835,0.5932887854431804,0.10034316924529059,0.5776435574229691,0.09033918964553302
Transcript_CTD,bilstm,100,128,0.3,0.1,0,0.001,0.6542338709677419,0.10345806940683853,0.6059473854732474,0.1698136400418994,0.6126620791081303,0.15724933865600613,0.6182799938834096,0.20754152098970896,0.6460049019607844,0.11852250360997342
